Stop with no routes: Stop{stopId='SNCB-8863842_1', name='Houyet', latitude=50.18987, longitude=5.006076, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8863842_3', name='Houyet', latitude=50.18987, longitude=5.006076, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8864337_1', name='Grupont', latitude=50.0906, longitude=5.280527, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8864337_2', name='Grupont', latitude=50.0906, longitude=5.280527, routes=[]}
Stop with no routes: Stop{stopId='STIB-0470238', name='2 - Rue de l'Armistice', latitude=50.863625, longitude=4.331196, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-203186', name='Ertvelde Trilkouter', latitude=51.17686, longitude=3.752094, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408481', name='Lutlommel Vennenstraat', latitude=51.236292, longitude=5.360653, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408482', name='Overpelt Kraaibosstraat', latitude=51.176203, longitude=5.419908, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408475', name='Neerpelt Teutenlaan', latitude=51.230682, longitude=5.431114, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408490', name='Zepperen Stippelstraat', latitude=50.847432, longitude=5.252863, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408487', name='Balen Weidestraat', latitude=51.189638, longitude=5.239926, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408582', name='Lauw Donkelstraat', latitude=50.74218, longitude=5.418088, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408592', name='Lauw Kraaibornstraat', latitude=50.737816, longitude=5.419378, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408593', name='Lauw Kraaibornstraat nr 69', latitude=50.74015, longitude=5.421292, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301561', name='Glabbeek-Zuurbemde Rode', latitude=50.88084, longitude=4.942105, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408559', name='Tongeren Kerkhof', latitude=50.786175, longitude=5.462274, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408556', name='Leopoldsburg Sociaal Huis', latitude=51.120461, longitude=5.260374, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-301557', name='Glabbeek-Zuurbemde Kapelleke', latitude=50.874409, longitude=4.942164, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408531', name='Henis Dorpstraat', latitude=50.798788, longitude=5.465705, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8893039_1', name='Melle', latitude=51.00281, longitude=3.79709, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8893039_2', name='Melle', latitude=51.00281, longitude=3.79709, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408519', name='Tongeren De Jeker', latitude=50.773246, longitude=5.481373, routes=[]}
Stop with no routes: Stop{stopId='STIB-0470138', name='1 - Boulevard Léopold II', latitude=50.863445, longitude=4.330997, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-203275', name='Evergem Doornzele Voetbalplein', latitude=51.137593, longitude=3.760844, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-457379', name='Grote-Brogel Kiosk', latitude=51.156905, longitude=5.50339, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811916_1', name='Bruxelles-Schuman', latitude=50.84328, longitude=4.380725, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811916_2', name='Bruxelles-Schuman', latitude=50.84328, longitude=4.380725, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811916_3', name='Bruxelles-Schuman', latitude=50.84328, longitude=4.380725, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408398', name='Tessenderlo Zavelberg', latitude=51.053938, longitude=5.04866, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811916_4', name='Bruxelles-Schuman', latitude=50.84328, longitude=4.380725, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-203245', name='Eeklo Station perron 7', latitude=51.181237, longitude=3.574454, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408380', name='Tessenderlo Vroentestraat', latitude=51.076923, longitude=5.084301, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811270_3', name='Veltem', latitude=50.90052, longitude=4.63352, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811270_4', name='Veltem', latitude=50.90052, longitude=4.63352, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408387', name='Tessenderlo Weg naar Industriepark', latitude=51.074671, longitude=5.152478, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8811270_1', name='Veltem', latitude=50.90052, longitude=4.63352, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408363', name='Balen Vinkenstraat', latitude=51.145924, longitude=5.216274, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-203297', name='Evergem Stationsplein', latitude=51.107232, longitude=3.701585, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408354', name='Tessenderlo Sint-Barbarakerk', latitude=51.05512, longitude=5.087569, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408356', name='Herk-de-Stad Wendelenplein', latitude=50.94039, longitude=5.16689, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-506829', name='Koksijde Sint-Idesbald', latitude=51.111169, longitude=2.612301, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408371', name='Lommel Averbodestraat', latitude=51.219574, longitude=5.327126, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-506830', name='Koksijde Sint-Idesbald', latitude=51.110977, longitude=2.612796, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408369', name='Lanaken Smeetsstraat', latitude=50.892441, longitude=5.623018, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874567', name='Farciennes', latitude=50.42915, longitude=4.55265, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874559', name='Le Campinaire', latitude=50.42383, longitude=4.542787, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8842036_1', name='Chênée', latitude=50.60802, longitude=5.616075, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8842036_2', name='Chênée', latitude=50.60802, longitude=5.616075, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874583', name='Aiseau', latitude=50.42953, longitude=4.58455, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335030', name='Merchtem Station', latitude=50.953937, longitude=4.223966, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335031', name='Molenbeek-Wersbeek Netelzeepstraat', latitude=50.912762, longitude=4.958517, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335032', name='Opvelp Culot', latitude=50.808654, longitude=4.785208, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335033', name='Opwijk Broekstraat', latitude=50.968353, longitude=4.19529, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335034', name='Opwijk Kerk', latitude=50.969885, longitude=4.189327, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109764', name='Rijmenam Weyneshof', latitude=51.030961, longitude=4.606641, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335037', name='Rillaar Beurtstraat', latitude=50.960299, longitude=4.933577, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335039', name='Tienen Multigas', latitude=50.808805, longitude=4.965118, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335040', name='Zichem Leigrachtstraat', latitude=50.987039, longitude=5.011385, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335041', name='Zoutleeuw Caf? De Hoofdzonde', latitude=50.849859, longitude=5.138339, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335044', name='Zoutleeuw Muggeberg', latitude=50.846735, longitude=5.131657, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109751', name='Ruisbroek Ooievaarsnest', latitude=51.074041, longitude=4.340563, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335010', name='Bierbeek Ruisbroek', latitude=50.835746, longitude=4.759762, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335011', name='Boortmeerbeek Boortse', latitude=50.973716, longitude=4.578832, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335012', name='Boortmeerbeek Maenrot', latitude=50.97041, longitude=4.559307, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335013', name='Diest Kluisbergstraat', latitude=50.986163, longitude=5.043746, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335016', name='Hever Schiplaken Stijn Streuvelslaan', latitude=50.983358, longitude=4.524171, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335017', name='Hever Schiplaken Lievekensbossen', latitude=50.976153, longitude=4.543436, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-335024', name='Korbeek-Lo Panoramalaan', latitude=50.870895, longitude=4.76222, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109728', name='Geel Bruulstraat', latitude=51.164241, longitude=5.045628, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408458', name='Koersel Feestzaal', latitude=51.061454, longitude=5.27635, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408473', name='Bocholt Kapelstraat', latitude=51.176322, longitude=5.579736, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892304_2', name='Furnes', latitude=51.07387, longitude=2.66994, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8892304_1', name='Furnes', latitude=51.07387, longitude=2.66994, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408440', name='Gelinden Kleinveldstraat', latitude=50.757818, longitude=5.259946, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408439', name='Gelinden Beemdenstraat', latitude=50.76031, longitude=5.260879, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109700', name='Boom RMS 1', latitude=51.091578, longitude=4.371525, routes=[]}
Stop with no routes: Stop{stopId='STIB-0230634', name='BD INVALIDES/R TROIS PONTS', latitude=50.818363, longitude=4.404342, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408446', name='Montenaken Hoofdingang Rusthuis', latitude=50.719862, longitude=5.129446, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408447', name='Montenaken Dagcentrum Rusthuis', latitude=50.719626, longitude=5.128592, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408448', name='Herderen Sieberg', latitude=50.812255, longitude=5.569273, routes=[]}
